Rank;Restaurant;Content;Sales; YOY_Sales ;Units; YOY_Units ;Headquarters;Segment_Category;Segment_Category_2
61;Papa Murphy's Pizza;Though the chain saw declines in both sales and units in 2019, it remains beloved by consumers. Guests surveyed by Technomic named it their favorite limited-service pizza chain as well as a leader in tech-enabled ordering.;748; -0,06 ;1329; -0,05 ;NA;Quick Service & Pizza;6
62;Ruby Tuesday;NA;731; -0,11 ;451; -0,08 ;NA;Casual Dining & Varied Menu;10
63;McAlister's Deli;NA;725; 0,07 ;460; 0,04 ;NA;Fast Casual & Sandwich;17
64;Cheddar's Scratch Kitchen;NA;724; 0,01 ;175; 0,03 ;NA;Casual Dining & Varied Menu;10
65;Church's Chicken;NA;716; -0,05 ;1032; -0,05 ;NA;Quick Service & Chicken;3
66;Tim Hortons;On the other side of that equation is Tim Hortons, which saw its consumer approval ratings slip by nearly 6 points in 2019, according to Technomic. A turnaround plan includes a renewed focus on the chain's core coffee and breakfast platforms along with changes to its loyalty program and a $100 million investment in drive-thru menu boards.;714; -0,04 ;715; -0,02 ;Toronto, ON;Quick Service & Coffee Cafe;2
67;Ruth's Chris Steak House;NA;703; 0,02 ;135; 0,02 ;Winter Park, FL;Steak;23
68;Carrabba's Italian Grill;NA;653; -0,01 ;225; -0,01 ;NA;Casual Dining & Italian/Pizza;9
69;Jason's Deli;NA;647; -0,01 ;283; 0,02 ;NA;Fast Casual & Sandwich;17
70;Marco's Pizza;NA;628; 0,05 ;915; 0,04 ;NA;Quick Service & Pizza;6
71;Shake Shack;NA;622; 0,32 ;173; 0,27 ;NA;Fast Casual & Burger;20
72;California Pizza Kitchen;NA;621; -0,03 ;199; -0,01 ;NA;Casual Dining & Italian/Pizza;9
73;Baskin-Robbins;NA;615; 0,01 ;2524; -0,01 ;NA;Quick Service & Frozen Desserts;12
74;Yard House;NA;609; 0,07 ;79; 0,10 ;NA;Casual Dining & Varied Menu;10
75;Bonefish Grill;NA;587; -0,01 ;197; -   ;NA;Casual Dining & Seafood;16
76;White Castle;NA;579; 0,02 ;371; -0,01 ;NA;Quick Service & Burger;1
77;Tropical Smoothie Cafe;NA;576; 0,22 ;834; 0,16 ;NA;Quick Service & Beverage;24
78;Dave & Buster's;NA;571; 0,07 ;132; 0,11 ;Dallas, TX;Sports Bar;25
79;Dutch Bros. Coffee;NA;567; 0,15 ;369; 0,13 ;NA;Quick Service & Coffee Cafe;2
80;Captain D's Seafood Kitchen;NA;561; 0,03 ;540; 0,02 ;NA;Quick Service & Seafood;26
81;Auntie Anne's;NA;559; 0,00 ;1288; -0,01 ;NA;Quick Service & Snack;22
82;First Watch;NA;558; 0,35 ;368; 0,25 ;NA;Family Dining & Family Style;14
83;Perkins Restaurant & Bakery;After its parent company filed for Chapter 11 protection in August, the struggling family-dining chain was scooped up by Huddle House for $51.5 million. Its new owner said it had no plans to convert Perkins units into Huddle Houses or vice versa.;541; -0,10 ;309; -0,13 ;NA;Family Dining & Family Style;14
84;Freddy's Frozen Custard & Steakburgers;NA;535; 0,13 ;368; 0,12 ;NA;Fast Casual & Burger;20
85;Checkers Drive-In Restaurants;NA;535; -0,02 ;584; -0,00 ;NA;Quick Service & Burger;1
86;Noodles & Company;The chain followed up on its successful 2018 introduction of zucchini noodles with a cauliflower-based noodle last year. It also saw growth via digital channels and catering, and said it was poised to resume franchise growth that had slowed in recent years as the chain stabilized.;533; 0,01 ;457; -0,00 ;NA;Fast Casual & Asian/Noodle;11
87;Einstein Bros. Bagels;NA;517; -0,02 ;710; -0,03 ;NA;Quick Service & Bakery Cafe;27
88;Jamba;NA;514; 0,01 ;767; -0,02 ;NA;Quick Service & Beverage;24
89;Portillo's;NA;505; 0,12 ;62; 0,09 ;NA;Fast Casual & Sandwich;17
90;Boston Market;NA;501; -0,10 ;390; -0,14 ;NA;Fast Casual & Chicken;18
91;The Habit Burger Grill;NA;500; 0,15 ;273; 0,11 ;NA;Fast Casual & Burger;20
92;Logan's Roadhouse;NA;496; -0,04 ;204; -0,01 ;NA;Casual Dining & Steak;15
93;MOD Pizza;NA;483; 0,24 ;467; 0,18 ;NA;Fast Casual & Pizza;28
